"date","team","goals","elo","rank","match_id","stage"
"1-Jun-1998","Paraguay",1,1742,29,"1998-84","Friendly"
"2-Jun-1998","Austria",6,1716,35,"1998-85","Friendly"
"2-Jun-1998","Liechtenstein",0,1048,182,"1998-85","Friendly"
"2-Jun-1998","Sweden",1,1828,18,"1998-86","Friendly"
"2-Jun-1998","Italy",0,1958,5,"1998-86","Friendly"
"3-Jun-1998","Belgium",2,1806,18,"1998-87","Friendly"
"3-Jun-1998","Colombia",0,1753,25,"1998-87","Friendly"
"3-Jun-1998","Brazil",3,2095,1,"1998-88","Friendly"
"3-Jun-1998","Andorra",0,1069,178,"1998-88","Friendly"
"3-Jun-1998","Croatia",2,1853,16,"1998-89","Friendly"
"3-Jun-1998","Iran",0,1643,47,"1998-89","Friendly"
"3-Jun-1998","Mexico",0,1841,17,"1998-90","Friendly"
"3-Jun-1998","Saudi Arabia",0,1644,44,"1998-90","Friendly"
"3-Jun-1998","Romania",3,1872,12,"1998-91","Friendly"
"3-Jun-1998","Paraguay",2,1740,29,"1998-91","Friendly"
"3-Jun-1998","Spain",4,2038,3,"1998-92","Friendly"
"3-Jun-1998","Northern Ireland",1,1597,58,"1998-92","Friendly"
"3-Jun-1998","Yugoslavia",1,1971,4,"1998-93","Friendly"
"3-Jun-1998","Japan",0,1733,30,"1998-93","Friendly"
"4-Jun-1998","Chile",1,1778,22,"1998-94","Friendly"
"4-Jun-1998","Morocco",1,1728,32,"1998-94","Friendly"
"4-Jun-1998","South Korea",1,1762,24,"1998-95","Friendly"
"4-Jun-1998","China",1,1671,40,"1998-95","Friendly"
"5-Jun-1998","Bulgaria",2,1804,21,"1998-96","Friendly"
"5-Jun-1998","Algeria",0,1477,81,"1998-96","Friendly"
"5-Jun-1998","Denmark",1,1862,10,"1998-97","Friendly"
"5-Jun-1998","Cameroon",2,1580,56,"1998-97","Friendly"
"5-Jun-1998","Finland",0,1537,67,"1998-98","Friendly"
"5-Jun-1998","France",1,2001,4,"1998-98","Friendly"
"5-Jun-1998","Germany",7,2060,2,"1998-99","Friendly"
"5-Jun-1998","Luxembourg",0,1202,155,"1998-99","Friendly"
"5-Jun-1998","Netherlands",5,1956,8,"1998-100","Friendly"
"5-Jun-1998","Nigeria",1,1702,36,"1998-100","Friendly"
"6-Jun-1998","Belgium",1,1815,19,"1998-101","Friendly"
"6-Jun-1998","Paraguay",0,1734,29,"1998-101","Friendly"
"6-Jun-1998","Croatia",7,1857,14,"1998-102","Friendly"
"6-Jun-1998","Australia",0,1786,20,"1998-102","Friendly"
"6-Jun-1998","Iceland",1,1474,78,"1998-103","Friendly"
"6-Jun-1998","South Africa",1,1638,49,"1998-103","Friendly"
"6-Jun-1998","Romania",5,1876,13,"1998-104","Friendly"
"6-Jun-1998","Moldova",1,1383,107,"1998-104","Friendly"
"6-Jun-1998","Switzerland",1,1668,41,"1998-105","Friendly"
"6-Jun-1998","Yugoslavia",1,1965,5,"1998-105","Friendly"
"6-Jun-1998","Tunisia",4,1627,52,"1998-106","Friendly"
"6-Jun-1998","Wales",0,1561,62,"1998-106","Friendly"
"10-Jun-1998","Brazil",2,2095,1,"1998-107","World Cup"
"10-Jun-1998","Scotland",1,1761,23,"1998-107","World Cup"
"10-Jun-1998","Morocco",2,1729,26,"1998-108","World Cup"
"10-Jun-1998","Norway",2,1876,9,"1998-108","World Cup"
"11-Jun-1998","Austria",1,1697,35,"1998-109","World Cup"
"11-Jun-1998","Cameroon",1,1598,57,"1998-109","World Cup"
"11-Jun-1998","Chile",2,1779,22,"1998-110","World Cup"
"11-Jun-1998","Italy",2,1940,6,"1998-110","World Cup"
"12-Jun-1998","Bulgaria",0,1794,20,"1998-111","World Cup"
"12-Jun-1998","Paraguay",0,1739,28,"1998-111","World Cup"
"12-Jun-1998","Denmark",1,1880,6,"1998-112","World Cup"
"12-Jun-1998","Saudi Arabia",0,1623,47,"1998-112","World Cup"
"12-Jun-1998","France",3,2003,4,"1998-113","World Cup"
"12-Jun-1998","South Africa",0,1629,50,"1998-113","World Cup"
"13-Jun-1998","Belgium",0,1820,19,"1998-114","World Cup"
"13-Jun-1998","Netherlands",0,1937,7,"1998-114","World Cup"
"13-Jun-1998","Mexico",3,1846,9,"1998-115","World Cup"
"13-Jun-1998","South Korea",1,1697,24,"1998-115","World Cup"
"13-Jun-1998","Nigeria",3,1707,16,"1998-116","World Cup"
"13-Jun-1998","Spain",2,1936,3,"1998-116","World Cup"
"14-Jun-1998","Argentina",1,1890,8,"1998-117","World Cup"
"14-Jun-1998","Japan",0,1701,31,"1998-117","World Cup"
"14-Jun-1998","Croatia",3,1871,6,"1998-118","World Cup"
"14-Jun-1998","Jamaica",1,1609,47,"1998-118","World Cup"
"14-Jun-1998","Yugoslavia",1,1970,4,"1998-119","World Cup"
"14-Jun-1998","Iran",0,1631,46,"1998-119","World Cup"
"15-Jun-1998","England",2,1973,4,"1998-120","World Cup"
"15-Jun-1998","Tunisia",0,1616,49,"1998-120","World Cup"
"15-Jun-1998","Germany",2,2060,2,"1998-121","World Cup"
"15-Jun-1998","United States",0,1732,25,"1998-121","World Cup"
"15-Jun-1998","Romania",1,1877,5,"1998-122","World Cup"
"15-Jun-1998","Colombia",0,1722,24,"1998-122","World Cup"
"16-Jun-1998","Brazil",3,2103,1,"1998-123","World Cup"
"16-Jun-1998","Morocco",0,1719,29,"1998-123","World Cup"
"16-Jun-1998","Norway",1,1870,13,"1998-124","World Cup"
"16-Jun-1998","Scotland",1,1769,23,"1998-124","World Cup"
"17-Jun-1998","Austria",1,1707,35,"1998-125","World Cup"
"17-Jun-1998","Chile",1,1780,22,"1998-125","World Cup"
"17-Jun-1998","Italy",3,1955,7,"1998-126","World Cup"
"17-Jun-1998","Cameroon",0,1582,58,"1998-126","World Cup"
"18-Jun-1998","Denmark",1,1855,11,"1998-127","World Cup"
"18-Jun-1998","South Africa",1,1636,45,"1998-127","World Cup"
"18-Jun-1998","France",4,2010,3,"1998-128","World Cup"
"18-Jun-1998","Saudi Arabia",0,1622,49,"1998-128","World Cup"
"19-Jun-1998","Nigeria",1,1759,18,"1998-129","World Cup"
"19-Jun-1998","Bulgaria",0,1732,20,"1998-129","World Cup"
"19-Jun-1998","Paraguay",0,1745,22,"1998-130","World Cup"
"19-Jun-1998","Spain",0,1952,4,"1998-130","World Cup"
"20-Jun-1998","Belgium",2,1832,19,"1998-131","World Cup"
"20-Jun-1998","Mexico",2,1873,13,"1998-131","World Cup"
"20-Jun-1998","Croatia",1,1891,9,"1998-132","World Cup"
"20-Jun-1998","Japan",0,1687,34,"1998-132","World Cup"
"20-Jun-1998","Netherlands",5,1949,4,"1998-133","World Cup"
"20-Jun-1998","South Korea",0,1678,31,"1998-133","World Cup"
"21-Jun-1998","Argentina",5,1908,9,"1998-134","World Cup"
"21-Jun-1998","Jamaica",0,1589,50,"1998-134","World Cup"
"21-Jun-1998","Germany",2,2058,2,"1998-135","World Cup"
"21-Jun-1998","Yugoslavia",2,1978,3,"1998-135","World Cup"
"21-Jun-1998","Iran",2,1639,34,"1998-136","World Cup"
"21-Jun-1998","United States",1,1668,28,"1998-136","World Cup"
"22-Jun-1998","Colombia",1,1742,24,"1998-137","World Cup"
"22-Jun-1998","Tunisia",0,1587,51,"1998-137","World Cup"
"22-Jun-1998","Romania",2,1897,7,"1998-138","World Cup"
"22-Jun-1998","England",1,1910,5,"1998-138","World Cup"
"23-Jun-1998","Cameroon",1,1595,53,"1998-139","World Cup"
"23-Jun-1998","Chile",1,1757,22,"1998-139","World Cup"
"23-Jun-1998","Italy",2,1968,3,"1998-140","World Cup"
